position	distance	allele0_0	allele0_1	allele1_0	allele1_1
N/A	0.00200155	0.999965	3.4651e-05	1.12192e-07	1
N/A	0.00200169	0.999969	3.07698e-05	1.70644e-07	1
N/A	0.00200177	0.999954	4.60216e-05	3.58667e-05	0.999964
N/A	0.00200199	0.999964	3.60991e-05	3.5763e-07	1
N/A	0.00200199	0.999959	4.12582e-05	9.8844e-06	0.99999
N/A	0.00200208	0.999959	4.12616e-05	4.06189e-05	0.999959
N/A	0.00200213	0.99996	3.95676e-05	3.02824e-05	0.99997
N/A	0.00200217	0.999951	4.85104e-05	0.000662988	0.999337
N/A	0.00200244	0.999969	3.11929e-05	1.0186e-08	1
N/A	0.00200268	0.999968	3.23962e-05	2.51607e-05	0.999975
N/A	0.00200272	0.999949	5.05321e-05	4.30408e-09	1
N/A	0.00200275	0.999971	2.90906e-05	4.40348e-07	1
N/A	0.00200285	0.999963	3.70685e-05	7.78366e-08	1
N/A	0.00200313	0.999961	3.86253e-05	4.582e-07	1
N/A	0.00200323	0.999981	1.91067e-05	2.30408e-06	0.999998
N/A	0.00200343	0.999975	2.54689e-05	1.10956e-08	1
N/A	0.00200361	0.999971	2.9321e-05	3.5199e-09	1
N/A	0.00200361	0.999967	3.32022e-05	6.60727e-07	0.999999
N/A	0.00200364	0.999958	4.19777e-05	1.63229e-05	0.999984
N/A	0.00200371	0.999974	2.5524e-05	1.13313e-06	0.999999
N/A	0.00200372	0.999964	3.60538e-05	2.28632e-09	1
N/A	0.00200377	0.999967	3.30701e-05	1.23782e-06	0.999999
N/A	0.00200379	0.999971	2.87005e-05	2.45479e-07	1
N/A	0.00200387	0.999964	3.63975e-05	0.000108818	0.999891
N/A	0.00200397	0.999965	3.51061e-05	6.78979e-05	0.999932
N/A	0.00200418	0.999972	2.78922e-05	5.68344e-08	1
N/A	0.00200422	0.999952	4.78948e-05	0.000272011	0.999728
N/A	0.00200423	0.999982	1.75649e-05	3.2535e-08	1
N/A	0.00200431	0.999975	2.48376e-05	6.30255e-05	0.999937
N/A	0.00200437	0.999957	4.3279e-05	3.71792e-06	0.999996
N/A	0.00200441	0.999948	5.21267e-05	5.6523e-09	1
N/A	0.00200459	0.999969	3.12085e-05	2.59098e-07	1
N/A	0.00200471	0.999975	2.45562e-05	1.3357e-06	0.999999
N/A	0.00200483	0.999969	3.07327e-05	1.30223e-06	0.999999
N/A	0.00200485	0.99996	4.04732e-05	2.86799e-08	1
N/A	0.00200489	0.999955	4.51747e-05	3.31505e-09	1
N/A	0.00200496	0.999957	4.30598e-05	2.85921e-05	0.999971
N/A	0.00200501	0.999959	4.11781e-05	3.28707e-05	0.999967
N/A	0.00200504	0.999954	4.61162e-05	1.5764e-07	1
N/A	0.00200509	0.999969	3.12551e-05	0.000140373	0.99986
N/A	0.00200523	0.999967	3.26544e-05	4.89784e-08	1
N/A	0.00200555	0.999964	3.62097e-05	6.3935e-07	0.999999
N/A	0.0020056	0.999977	2.34491e-05	0.000265428	0.999735
N/A	0.00200566	0.999966	3.35271e-05	0.000434097	0.999566
N/A	0.00200592	0.999962	3.76463e-05	7.32214e-08	1
N/A	0.00200597	0.999973	2.66167e-05	3.3897e-07	1
N/A	0.00200617	0.999961	3.89708e-05	1.06531e-05	0.999989
N/A	0.00200626	0.999966	3.42556e-05	5.76949e-09	1
N/A	0.00200665	0.999957	4.27402e-05	0.000371298	0.999629
N/A	0.00200689	0.999959	4.12414e-05	1.5448e-09	1
N/A	0.00200699	0.999959	4.11695e-05	2.72394e-07	1
